codmes,Tasas_interes_fondeo,tasa_interes_act,ind_prec_inm,ind_prec_med,ind_prec_alt,ind_prec_12_distr,ind_prec_cons_lima_met_alim_ener,prod_ener_lima,imp_bienes_cons_durarero,ind_coyunt_ener,ind_coyunt_ener_sin_mina,ind_coyun_cons_cement,var_porc_demanda_interna,var_porc_PBI,var_porc_PBI_const,ind_prec_inf_suby_bienes,imp_mater_const,ind_preci_import,exp_PBI,tip_camb_banc_venta,ind_tipo_camb_var_mes
feb-21,18.8,11.9,109.37,6009.207,7159.878127,6896.051566,91.94763935,1692.558489,203.5348357,4154.35067,3172.221954,15.94621169,-1.016792841,-3.45,14.85429647,0.1359047695,101.718241,86.0904847,0.043,3.64755,1.248495645
mar-21,18.5,11.1,109.37,6009.207,7159.878127,6896.051566,92.931563,1992.65093,230.5336815,4619.304931,3517.646151,145.117291,23.34935992,20.04,134.2211374,0.1989310853,162.552694,87.16901109,0.046,3.710347826,1.592602263
abr-21,18.3,11.1,109.90,6035.088,7415.967678,7095.648765,92.60407892,1686.79425,213.2384567,4326.828333,3303.271878,6210.712659,51.77330841,59.25,990.0267938,0.1470015045,126.859737,87.70376653,0.045,3.7036,0.6907002087
may-21,15.1,10.8,109.90,6035.088,7415.967678,7095.648765,92.95631975,2193.352683,211.5173083,4528.809699,3417.509685,227.4275125,44.62811015,48.37,258.1263129,0.2325516218,137.019926,88.83181143,0.046,3.776380952,2.547356658
jun-21,13.4,10.7,109.90,6035.088,7415.967678,7095.648765,93.78861042,2485.557025,202.0656868,4438.19839,3356.528395,66.24302435,28.70592339,23.9,90.29725733,0.3802097598,174.36134,90.89698542,0.04,3.915761905,4.046265116
jul-21,15.7,10.7,108.07,6453.995,7894.597829,7560.999314,95.51941433,2636.129916,220.3778835,4483.16642,3441.039752,21.94850439,17.41684875,12.97,36.54944825,0.3942283628,115.295555,94.09309245,0.04,3.9445,0.2353642267
ago-21,15.3,10.7,108.07,6453.995,7894.597829,7560.999314,97.14328721,2765.447703,189.1155555,4571.391671,3433.509999,15.44180896,12.79785369,11.82,25.17378858,0.4993471272,124.760105,96.42505075,0.036,4.09,2.909763517
sept-21,16.3,10.5,108.07,6453.995,7894.597829,7560.999314,97.71940489,2765.552742,211.5410911,4468.145886,3389.423139,12.33397351,12.81656601,10.16,12.99590085,0.380301854,124.347308,96.37131497,0.03,4.110636364,0.3919647184
oct-21,18.3,10.6,106.53,6373.709,7580.163874,7303.740898,98.60306701,2567.477608,228.8945238,4618.900925,3531.683772,0.6328615619,9.202387836,4.89,-2.022587508,0.4732524036,115.620959,96.96133352,0.0255,4.0187,-2.010036371
nov-21,20.4,10.7,106.53,6373.709,7580.163874,7303.740898,99.0922168,2367.290127,194.1788917,4536.550195,3503.770668,-1.259796491,1.644432747,3.69,-5.578640997,0.3488382368,124.570613,98.72138444,0.03,4.023333333,0.2460391414
dic-21,20.8,11.0,106.53,6373.709,7580.163874,7303.740898,100,2099.244211,231.0862641,4687.261913,3601.855158,-0.2730455897,0.6601028424,1.89,-8.897441389,0.5124037267,128.791319,100,0.026,4.042318182,-0.04149757681
ene-22,22.7,11.1,107.07,6317.653,7165.637292,6974.824159,100.2758351,2149.669874,184.4779526,4683.968572,3595.357733,-1.595114415,3.601119721,2.88,-0.59,0.2715480379,144.26523,99.6746107,0.025,3.89347619,-2.883989184
feb-22,22.8,11.3,107.07,6317.653,7165.637292,6974.824159,100.718616,1888.265399,193.0422164,4321.242274,3310.370863,1.89,1.888252871,4.88,-2.53,0.5583239763,108.29074,100.6468927,0.028,3.7952,-1.947353607
mar-22,22.7,11.5,107.07,6317.653,7165.637292,6974.824159,103.0144312,2067.170409,,4718.93109,3668.818831,3.49,1.958037582,3.79,1.36,0.5889136855,122.163715,102.7840882,0.027,3.742913043,-1.515572808
abr-22,24.5,11.8,,,,,104.6265812,,,4430.657586,3408.818619,,,,,0.6148143389,,104.1797099,0.025,3.744157895,-0.05352406155
may-22,24.5,12.1,,,,,,,,,,,,,,,,,0.027,3.7615,
